地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
02384	鶴田町	1	70	45	1	100	60	-	-	-
02387	中泊町	1	80	42	-	-	-	-	-	-
02401	野辺地町	1	50	33	3	188	103	-	-	-
02402	七戸町	1	50	30	1	100	63	-	-	-
02405	六戸町	1	70	54	-	-	-	-	-	-
02406	横浜町	1	80	43	-	-	-	-	-	-
02408	東北町	2	162	87	-	-	-	-	-	-
02411	六ケ所村	1	70	40	1	29	19	-	-	-
02412	おいらせ町　	2	100	78	1	50	43	1	50	40
02423	大間町	1	50	30	-	-	-	-	-	-
02424	東通村	-	-	-	1	50	33	-	-	-
02425	風間浦村	-	-	-	-	-	-	-	-	-
02426	佐井村	-	-	-	-	-	-	-	-	-
02441	三戸町	1	50	35	1	51	39	-	-	-
02442	五戸町	2	105	87	-	-	-	-	-	-
02443	田子町	1	41	31	1	29	20	-	-	-
02445	南部町	3	150	113	2	170	106	-	-	-
02446	階上町	1	80	83	-	-	-	-	-	-
02450	新郷村	-	-	-	1	50	42	-	-	-
03000	岩手県	106	6259	4638	63	5713	3275	18	443	346
03201	盛岡市	17	1004	794	7	720	461	6	236	187
03202	宮古市	5	340	231	2	196	117	-	-	-
03203	大船渡市	2	149	91	1	152	79	-	-	-
03205	花巻市	9	589	439	6	535	279	1	53	29
03206	北上市	5	280	211	4	306	175	2	20	16
03207	久慈市	3	152	103	2	212	139	1	19	14
03208	遠野市	3	180	148	2	179	103	-	-	-
03209	一関市	14	810	574	7	592	335	2	19	39
03210	陸前高田市　	2	90	91	1	190	87	-	-	-
03211	釜石市	3	201	151	2	192	93	-	-	-
03213	二戸市	3	164	83	1	100	57	-	-	-
03214	八幡平市	3	193	197	3	261	149	-	-	-
03215	奥州市	10	616	432	5	417	226	1	3	5
03216	滝沢市	1	50	42	2	196	107	1	41	27
03301	雫石町	1	80	51	3	169	104	-	-	-
03302	葛巻町	1	55	40	1	80	49	1	18	7
03303	岩手町	2	80	61	1	90	69	1	15	11
03321	紫波町	3	122	97	-	-	-	-	-	-
03322	矢巾町	1	97	70	3	264	158	1	12	6
03366	西和賀町	2	104	76	1	81	57	1	7	5
03381	金ケ崎町	2	82	66	1	100	53	-	-	-
03402	平泉町	1	52	35	1	80	58	-	-	-
03441	住田町	1	52	49	-	-	-	-	-	-
03461	大槌町	2	110	92	1	96	49	-	-	-
03482	山田町	1	100	73	1	80	33	-	-	-
03483	岩泉町	-	-	-	1	85	61	-	-	-
03484	田野畑村	1	50	34	-	-	-	-	-	-
03485	普代村	1	80	50	-	-	-	-	-	-
03501	軽米町	2	80	51	1	100	55	-	-	-
03503	野田村	1	50	39	-	-	-	-	-	-
03506	九戸村	1	62	40	-	-	-	-	-	-
03507	洋野町	2	125	82	2	140	78	-	-	-
03524	一戸町	1	60	47	1	100	46	-	-	-
04000	宮城県	139	7989	5360	74	7150	4391	11	386	367
04100	仙台市	40	2530	1696	22	2210	1400	2	163	112
04101	青葉区	17	1057	685	6	584	378	1	19	12
04102	宮城野区	6	378	264	3	300	197	-	-	-
04103	若林区	3	220	153	2	200	118	-	-	-
04104	太白区	6	350	251	7	758	481	1	144	101
04105	泉区　	8	525	344	4	368	227	-	-	-
04202	石巻市	13	634	442	7	757	451	-	-	-
04203	塩竈市	1	50	28	1	100	48	1	13	5
04205	気仙沼市	6	299	211	4	319	232	-	-	-
04206	白石市	3	167	110	2	154	110	-	-	-
04207	名取市	3	180	135	1	86	51	-	-	-
04208	角田市	4	244	153	1	95	72	1	56	32
04209	多賀城市	1	54	37	2	200	111	-	-	-
04211	岩沼市	2	110	86	1	100	56	1	6	12
04212	登米市	7	350	221	3	325	185	-	-	-
04213	栗原市	8	378	237	4	400	259	1	28	20
04214	東松島市	2	84	85	1	100	72	-	-	-
04215	大崎市	6	462	276	5	448	253	3	76	150
04301	蔵王町	4	160	123	1	100	48	-	-	-
04302	七ケ宿町	1	30	21	-	-	-	-	-	-
04321	大河原町	2	88	35	1	100	71	-	-	-
04322	村田町	1	50	41	1	100	51	-	-	-
04323	柴田町	3	147	82	1	100	58	-	-	-
04324	川崎町	1	30	28	1	86	45	-	-	-
04341	丸森町	2	114	75	1	100	67	-	-	-
04361	亘理町	4	244	147	1	80	47	-	-	-
04362	山元町	1	50	37	1	100	57	-	-	-
04401	松島町	1	50	24	1	100	47	1	29	28
04404	七ケ浜町	1	50	31	-	-	-	-	-	-
04406	利府町	2	150	109	2	262	167	-	-	-
04421	大和町	3	300	204	-	-	-	-	-	-
04422	大郷町	1	54	46	1	100	73	1	15	9
04423	富谷町	2	120	106	2	210	104	-	-	-
04424	大衡村	2	152	83	-	-	-	-	-	-
04444	色麻町	2	100	48	1	100	64	-	-	-
04445	加美町	3	158	107	-	-	-	-	-	-
04501	涌谷町	2	120	89	1	80	48	-	-	-
04505	美里町	2	130	84	2	58	48	-	-	-
04581	女川町	1	40	42	1	100	46	-	-	-
04606	南三陸町	2	110	82	1	80	50	-	-	-
05000	秋田県	110	6166	4271	52	4881	2973	9	523	350
05201	秋田市	19	1159	782	13	1308	817	-	-	-
05202	能代市	2	110	70	3	295	166	2	129	84
05203	横手市	13	648	503	4	450	308	-	-	-
05204	大館市	7	465	333	4	400	226	2	180	114
05206	男鹿市	4	210	123	2	200	119	-	-	-
05207	湯沢市	5	290	217	3	212	118	3	96	65
05209	鹿角市	3	175	141	4	162	120	2	118	87
05210	由利本荘市　	12	712	499	4	400	247	-	-	-
05211	潟上市	4	160	106	2	200	116	-	-	-
05212	大仙市	10	637	396	4	374	215	-	-	-
05213	北秋田市	4	257	156	2	180	120	-	-	-
05214	にかほ市	3	150	100	1	100	65	-	-	-
05215	仙北市	3	164	99	2	200	102	-	-	-
05303	小坂町	2	80	81	-	-	-	-	-	-
05327	上小阿仁村　	1	86	49	-	-	-	-	-	-
05346	藤里町	1	50	25	-	-	-	-	-	-
05348	三種町	3	134	97	-	-	-	-	-	-
05349	八峰町	3	134	124	-	-	-	-	-	-
05361	五城目町	2	80	55	1	100	46	-	-	-
05363	八郎潟町	1	50	34	1	100	60	-	-	-
05366	井川町	1	50	34	-	-	-	-	-	-
05368	大潟村	1	50	27	-	-	-	-	-	-
05434	美郷町	3	150	99	1	100	65	-	-	-
05463	羽後町	2	115	83	1	100	65	-	-	-
05464	東成瀬村	1	50	38	-	-	-	-	-	-
06000	山形県	95	7113	4423	42	3681	2253	7	88	91
06201	山形市	14	1150	648	5	429	259	1	18	14
06202	米沢市	8	475	321	3	369	252	1	16	11
06203	鶴岡市	9	690	454	7	352	209	1	6	7
06204	酒田市	9	641	401	3	300	179	2	16	13
06205	新庄市	2	160	100	2	160	89	-	-	-
06206	寒河江市	3	240	161	1	100	57	-	-	-
06207	上山市	2	160	94	1	100	63	-	-	-
06208	村山市	2	170	100	1	100	46	-	-	-
06209	長井市	1	140	89	1	120	89	1	20	33
06210	天童市	3	260	173	2	200	103	-	-	-
06211	東根市	4	300	216	-	-	-	-	-	-
06212	尾花沢市	3	187	114	1	100	55	-	-	-
06213	南陽市	2	160	94	2	188	116	-	-	-
06301	山辺町	1	80	46	1	100	64	-	-	-
06302	中山町	1	90	46	-	-	-	-	-	-
06321	河北町	2	100	67	1	100	58	-	-	-
06322	西川町	1	100	59	-	-	-	-	-	-
06323	朝日町	2	130	86	-	-	-	-	-	-
06324	大江町	2	180	96	1	93	59	1	12	12
06341	大石田町	2	80	47	-	-	-	-	-	-
06361	金山町	1	74	40	-	-	-	-	-	-
06362	最上町	2	90	61	1	50	27	-	-	-
06363	舟形町	1	80	38	1	100	66	-	-	-
06364	真室川町	2	156	108	1	100	54	-	-	-
06365	大蔵村	1	80	42	-	-	-	-	-	-
