地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
01405	積丹町	-	-	-	-	-	-	-	-	-
01406	古平町	-	-	-	-	-	-	-	-	-
01407	仁木町	1	50	32	-	-	-	-	-	-
01408	余市町	1	118	82	4	169	113	-	-	-
01409	赤井川村	-	-	-	-	-	-	-	-	-
01423	南幌町	1	70	35	1	70	50	-	-	-
01424	奈井江町	1	50	23	1	52	32	-	-	-
01425	上砂川町	1	50	24	1	50	26	-	-	-
01427	由仁町	1	70	39	-	-	-	-	-	-
01428	長沼町	1	120	83	2	145	91	-	-	-
01429	栗山町	1	100	59	1	100	54	-	-	-
01430	月形町	3	110	74	1	70	38	-	-	-
01431	浦臼町	1	30	17	-	-	-	-	-	-
01432	新十津川町　　	1	100	59	-	-	-	1	85	53
01433	妹背牛町	-	-	-	1	80	39	-	-	-
01434	秩父別町	1	80	46	-	-	-	-	-	-
01436	雨竜町	1	80	41	-	-	-	-	-	-
01437	北竜町	1	80	37	-	-	-	-	-	-
01438	沼田町	1	80	61	-	-	-	-	-	-
01452	鷹栖町	1	50	30	-	-	-	-	-	-
01453	東神楽町	1	70	52	1	100	60	-	-	-
01454	当麻町	1	50	26	2	100	78	-	-	-
01455	比布町	1	50	22	-	-	-	-	-	-
01456	愛別町	1	50	33	-	-	-	-	-	-
01457	上川町	1	50	33	1	29	40	-	-	-
01458	東川町	-	-	-	1	80	53	-	-	-
01459	美瑛町	1	84	58	1	60	36	-	-	-
01460	上富良野町　　	1	50	31	1	28	24	-	-	-
01461	中富良野町　　	1	30	27	-	-	-	-	-	-
01462	南富良野町　　	2	100	77	-	-	-	-	-	-
01463	占冠村	-	-	-	-	-	-	-	-	-
01464	和寒町	1	100	66	-	-	-	-	-	-
01465	剣淵町	1	50	35	-	-	-	-	-	-
01468	下川町	1	56	36	-	-	-	-	-	-
01469	美深町	1	50	29	-	-	-	-	-	-
01470	音威子府村　　	-	-	-	-	-	-	1	8	6
01471	中川町	1	50	39	-	-	-	-	-	-
01472	幌加内町	-	-	-	-	-	-	-	-	-
01481	増毛町	1	50	31	-	-	-	-	-	-
01482	小平町	1	50	38	-	-	-	-	-	-
01483	苫前町	1	50	29	-	-	-	-	-	-
01484	羽幌町	2	110	85	-	-	-	-	-	-
01485	初山別村	-	-	-	-	-	-	-	-	-
01486	遠別町	1	50	24	-	-	-	-	-	-
01487	天塩町	1	50	31	-	-	-	1	18	22
01511	猿払村	1	30	16	-	-	-	-	-	-
01512	浜頓別町	2	100	55	-	-	-	-	-	-
01513	中頓別町	1	55	45	-	-	-	-	-	-
01514	枝幸町	2	100	65	1	29	24	-	-	-
01516	豊富町	1	100	52	-	-	-	-	-	-
01517	礼文町	1	30	26	-	-	-	-	-	-
01518	利尻町	1	30	23	-	-	-	-	-	-
01519	利尻富士町　　	1	50	35	1	40	26	-	-	-
01520	幌延町	1	40	33	-	-	-	-	-	-
01543	美幌町	1	100	77	1	100	54	-	-	-
01544	津別町	1	50	31	-	-	-	-	-	-
01545	斜里町	1	60	41	-	-	-	-	-	-
01546	清里町	1	60	41	1	72	39	-	-	-
01547	小清水町	1	50	28	-	-	-	-	-	-
01549	訓子府町	1	50	29	-	-	-	-	-	-
01550	置戸町	1	50	30	-	-	-	-	-	-
01552	佐呂間町	1	60	34	-	-	-	-	-	-
01555	遠軽町	2	100	86	1	100	52	-	-	-
01559	湧別町	2	100	69	-	-	-	-	-	-
01560	滝上町	1	50	35	-	-	-	-	-	-
01561	興部町	-	-	-	-	-	-	-	-	-
01562	西興部村	1	80	49	-	-	-	-	-	-
01563	雄武町	1	60	50	1	26	18	-	-	-
01564	大空町	2	90	53	-	-	-	-	-	-
01571	豊浦町	2	180	111	1	50	24	-	-	-
01575	壮瞥町	1	50	24	-	-	-	1	120	79
01578	白老町	2	100	65	2	109	63	-	-	-
01581	厚真町	1	80	39	-	-	-	-	-	-
01584	洞爺湖町	1	60	39	-	-	-	1	88	59
01585	安平町	1	30	22	-	-	-	1	10	11
01586	むかわ町	2	180	102	-	-	-	-	-	-
01601	日高町	2	80	64	1	50	30	1	24	64
01602	平取町	1	50	24	-	-	-	-	-	-
01604	新冠町	1	70	36	-	-	-	-	-	-
01607	浦河町	1	50	38	1	75	58	-	-	-
01608	様似町	1	50	42	-	-	-	-	-	-
01609	えりも町	1	40	23	-	-	-	-	-	-
01610	新ひだか町　　	2	170	110	1	50	32	-	-	-
01631	音更町	2	172	130	2	200	115	-	-	-
01632	士幌町	1	107	68	-	-	-	-	-	-
01633	上士幌町	1	50	43	-	-	-	1	45	28
01634	鹿追町	1	50	29	1	100	73	-	-	-
01635	新得町	-	-	-	-	-	-	-	-	-
01636	清水町	1	54	50	1	29	21	-	-	-
01637	芽室町	2	120	80	1	100	59	-	-	-
01638	中札内村	1	50	31	-	-	-	-	-	-
01639	更別村	-	-	-	-	-	-	-	-	-
01641	大樹町	1	50	32	1	100	62	-	-	-
01642	広尾町	1	50	18	-	-	-	1	16	19
01643	幕別町	1	91	61	1	150	96	-	-	-
01644	池田町	1	50	31	1	29	18	-	-	-
01645	豊頃町	1	50	28	-	-	-	-	-	-
01646	本別町	1	50	37	1	80	54	-	-	-
01647	足寄町	1	56	40	-	-	-	-	-	-
01648	陸別町	1	50	25	-	-	-	-	-	-
01649	浦幌町	1	50	29	-	-	-	-	-	-
01661	釧路町	-	-	-	1	100	67	-	-	-
01662	厚岸町	1	68	56	1	23	10	-	-	-
01663	浜中町	1	50	34	-	-	-	1	6	8
01664	標茶町	1	100	54	-	-	-	-	-	-
01665	弟子屈町	-	-	-	-	-	-	1	20	36
01667	鶴居村	-	-	-	1	100	50	1	26	17
01668	白糠町	-	-	-	-	-	-	-	-	-
01691	別海町	1	86	48	1	50	32	-	-	-
01692	中標津町	2	90	74	-	-	-	1	60	45
01693	標津町	1	58	26	-	-	-	-	-	-
01694	羅臼町	-	-	-	-	-	-	-	-	-
02000	青森県	87	5146	3752	61	5204	3387	18	895	651
02201	青森市	12	794	598	13	1100	758	4	167	130
02202	弘前市	10	660	508	11	967	703	3	20	29
02203	八戸市	9	565	458	7	730	414	4	183	153
02204	黒石市	2	105	78	-	-	-	-	-	-
02205	五所川原市　　	5	260	204	2	200	117	3	189	109
02206	十和田市	3	230	148	4	400	272	-	-	-
02207	三沢市	2	110	69	1	100	82	-	-	-
02208	むつ市	6	320	223	3	209	122	1	40	21
02209	つがる市	3	160	109	1	100	54	1	222	127
02210	平川市	2	125	106	3	280	186	1	24	39
02301	平内町	2	80	66	-	-	-	-	-	-
02303	今別町	1	50	28	-	-	-	-	-	-
02304	蓬田村	1	50	25	-	-	-	-	-	-
02307	外ヶ浜町	2	80	59	1	50	25	-	-	-
02321	鰺ケ沢町	1	50	34	1	100	62	-	-	-
02323	深浦町	2	80	62	1	80	52	-	-	-
02343	西目屋村	1	30	22	-	-	-	-	-	-
02361	藤崎町	2	100	71	1	100	63	-	-	-
02362	大鰐町	1	50	32	-	-	-	-	-	-
02367	田舎館村	-	-	-	-	-	-	-	-	-
02381	板柳町	1	80	52	-	-	-	-	-	-
02384	鶴田町	1	70	43	1	100	57	-	-	-
02387	中泊町	1	80	40	-	-	-	-	-	-
02401	野辺地町	1	50	33	3	188	103	-	-	-
02402	七戸町	1	50	31	1	100	63	-	-	-
02405	六戸町	1	70	62	-	-	-	-	-	-
02406	横浜町	1	80	42	-	-	-	-	-	-
02408	東北町	2	162	81	-	-	-	-	-	-
02411	六ケ所村	1	50	46	-	-	-	-	-	-
02412	おいらせ町　　	2	100	55	1	50	38	1	50	44
02423	大間町	1	50	31	-	-	-	-	-	-
02424	東通村	-	-	-	1	50	33	-	-	-
02425	風間浦村	-	-	-	-	-	-	-	-	-
02426	佐井村	-	-	-	-	-	-	-	-	-
02441	三戸町	1	50	34	1	51	42	-	-	-
02442	五戸町	2	105	81	-	-	-	-	-	-
02443	田子町	-	-	-	1	29	13	-	-	-
02445	南部町	3	150	113	2	170	100	-	-	-
02446	階上町	1	100	108	-	-	-	-	-	-
02450	新郷村	-	-	-	1	50	31	-	-	-
03000	岩手県	96	6194	4555	62	5732	3305	21	493	358
03201	盛岡市	14	922	713	7	753	473	9	286	174
03202	宮古市	5	310	216	2	196	120	-	-	-
03203	大船渡市	2	149	91	1	152	87	-	-	-
03205	花巻市	7	589	428	6	535	296	1	53	30
03206	北上市	5	280	220	4	306	189	2	20	18
03207	久慈市	3	152	95	2	212	148	1	19	14
03208	遠野市	2	180	125	2	179	110	-	-	-
03209	一関市	13	810	606	7	592	336	2	19	40
03210	陸前高田市　　	1	90	70	1	190	94	-	-	-
03211	釜石市	2	160	137	2	192	87	-	-	-
03213	二戸市	3	164	88	1	100	58	-	-	-
03214	八幡平市	3	198	130	3	261	136	-	-	-
03215	奥州市	9	592	451	5	417	213	1	3	5
03301	雫石町	1	80	50	2	140	88	-	-	-
03302	葛巻町	1	55	35	1	75	48	1	18	30
03303	岩手町	2	80	59	1	90	68	1	15	10
03305	滝沢村	2	123	93	2	196	104	1	41	26
03321	紫波町	2	122	95	1	100	49	-	-	-
03322	矢巾町	1	97	67	3	264	148	1	12	8
03366	西和賀町	2	104	77	1	81	56	1	7	6
03381	金ケ崎町	2	82	72	1	100	53	-	-	-
03402	平泉町	1	52	54	1	80	52	-	-	-
03441	住田町	1	52	44	-	-	-	-	-	-
03461	大槌町	2	110	87	1	96	50	-	-	-
03482	山田町	1	100	73	-	-	-	-	-	-
03483	岩泉町	-	-	-	1	85	56	-	-	-
03484	田野畑村	1	50	34	-	-	-	-	-	-
03485	普代村	1	80	48	-	-	-	-	-	-
03501	軽米町	2	80	50	1	100	55	-	-	-
03503	野田村	1	50	37	-	-	-	-	-	-
03506	九戸村	1	82	55	-	-	-	-	-	-
03507	洋野町	2	125	86	2	140	89	-	-	-
03524	一戸町	1	74	74	1	100	45	-	-	-
04000	宮城県	131	7783	5247	77	7407	4625	11	386	257
04100	仙台市	42	2748	1856	24	2320	1454	2	163	108
04101	青葉区	16	1115	756	8	752	476	1	19	13
04102	宮城野区	6	378	247	4	400	254	-	-	-
04103	若林区	4	270	164	3	300	169	-	-	-
04104	太白区	8	460	344	6	600	383	1	144	95
04105	泉区　	8	525	346	3	268	173	-	-	-
04202	石巻市	12	584	429	7	757	442	-	-	-
04203	塩竈市	1	50	26	1	100	63	1	13	5
04205	気仙沼市	6	319	189	4	319	234	-	-	-
04206	白石市	3	167	111	2	154	110	-	-	-
04207	名取市	3	180	109	2	212	130	-	-	-
04208	角田市	2	144	94	2	161	103	1	56	31
04209	多賀城市	1	54	39	2	200	114	-	-	-
04211	岩沼市	2	110	82	1	100	58	1	6	11
04212	登米市	7	370	227	3	325	198	-	-	-
04213	栗原市	6	278	196	4	400	267	1	28	21
04214	東松島市	2	84	96	1	100	76	-	-	-
04215	大崎市	6	462	260	3	252	134	3	76	42
04301	蔵王町	3	130	101	1	100	54	-	-	-
04302	七ケ宿町	1	30	26	-	-	-	-	-	-
04321	大河原町	1	50	21	1	100	68	-	-	-
04322	村田町	1	50	42	1	100	60	-	-	-
04323	柴田町	3	147	83	1	100	60	-	-	-
04324	川崎町	1	40	31	1	86	56	-	-	-
04341	丸森町	1	104	38	1	100	70	-	-	-
04361	亘理町	3	184	122	1	80	52	-	-	-
04362	山元町	1	50	33	1	100	56	-	-	-
04401	松島町	1	50	24	1	100	46	1	29	30
04404	七ケ浜町	1	50	27	-	-	-	-	-	-
04406	利府町	2	150	86	2	262	231	-	-	-
04421	大和町	3	300	186	1	80	42	-	-	-
04422	大郷町	2	144	88	1	100	61	1	15	9
04423	富谷町	2	120	123	2	210	94	-	-	-
04424	大衡村	1	52	43	-	-	-	-	-	-
04444	色麻町	2	100	54	1	100	67	-	-	-
04445	加美町	3	158	121	-	-	-	-	-	-
04501	涌谷町	2	120	88	1	80	50	-	-	-
04505	美里町	2	104	75	1	29	20	-	-	-
04581	女川町	1	40	36	1	100	47	-	-	-
04606	南三陸町	1	60	86	2	180	111	-	-	-
05000	秋田県	95	5811	3899	52	4921	3010	9	527	318
05201	秋田市	16	964	619	12	1218	761	-	-	-
05202	能代市	3	210	116	3	295	171	2	129	81
05203	横手市	10	568	447	4	450	279	-	-	-
05204	大館市	6	415	316	3	350	197	2	184	109
05206	男鹿市	4	210	136	2	200	123	-	-	-
05207	湯沢市	5	290	220	3	212	123	3	96	54
05209	鹿角市	2	175	115	5	262	193	2	118	74
05210	由利本荘市　　	9	562	354	3	300	182	-	-	-
05211	潟上市	2	160	111	2	200	116	-	-	-
05212	大仙市	8	527	332	4	374	220	-	-	-
05213	北秋田市	4	297	189	2	180	130	-	-	-
05214	にかほ市	4	220	155	1	100	65	-	-	-
05215	仙北市	3	164	102	2	200	98	-	-	-
05303	小坂町	2	80	82	-	-	-	-	-	-
05327	上小阿仁村　　	1	86	37	-	-	-	-	-	-
05346	藤里町	1	50	29	-	-	-	-	-	-
05348	三種町	3	184	110	1	80	50	-	-	-
05349	八峰町	2	104	75	-	-	-	-	-	-
05361	五城目町	1	80	58	1	100	44	-	-	-
05363	八郎潟町	1	50	33	1	100	61	-	-	-
05366	井川町	1	50	29	1	100	70	-	-	-
05368	大潟村	1	50	25	-	-	-	-	-	-
05434	美郷町	3	150	99	1	100	63	-	-	-
05463	羽後町	2	115	82	1	100	66	-	-	-
05464	東成瀬村	1	50	30	-	-	-	-	-	-
06000	山形県	83	6798	4197	43	3761	2277	8	232	171
06201	山形市	14	1170	732	5	429	262	2	162	98
06202	米沢市	5	390	244	3	369	246	1	16	12
06203	鶴岡市	9	720	463	8	452	271	1	6	7
06204	酒田市	8	641	394	3	280	171	2	16	13
06205	新庄市	2	160	95	2	160	86	-	-	-
06206	寒河江市	3	260	161	1	100	64	-	-	-
06207	上山市	1	80	50	1	100	62	-	-	-
06208	村山市	2	170	103	1	100	46	-	-	-
06209	長井市	2	240	136	1	120	91	1	20	30
06210	天童市	2	160	95	2	200	109	-	-	-
06211	東根市	2	160	101	-	-	-	-	-	-
06212	尾花沢市	3	187	120	1	100	57	-	-	-
06213	南陽市	2	160	95	2	188	105	-	-	-
06301	山辺町	1	80	44	1	100	62	-	-	-
06302	中山町	1	90	43	-	-	-	-	-	-
06321	河北町	2	100	64	1	100	57	-	-	-
06322	西川町	1	100	60	-	-	-	-	-	-
06323	朝日町	1	80	52	-	-	-	-	-	-
06324	大江町	2	180	106	1	93	41	1	12	11
06341	大石田町	1	80	45	-	-	-	-	-	-
06361	金山町	1	74	41	-	-	-	-	-	-
06362	最上町	-	-	-	1	50	33	-	-	-
06363	舟形町	1	80	35	1	100	66	-	-	-
06364	真室川町	2	176	103	1	100	54	-	-	-
06365	大蔵村	1	80	44	-	-	-	-	-	-
06366	鮭川村	1	80	46	-	-	-	-	-	-
06367	戸沢村	1	80	38	-	-	-	-	-	-
06381	高畠町	3	210	160	-	-	-	-	-	-
06382	川西町	1	100	48	1	200	136	-	-	-
06401	小国町	1	100	66	1	50	36	-	-	-
06402	白鷹町	1	110	72	1	80	52	-	-	-
06403	飯豊町	1	80	51	1	30	27	-	-	-
06426	三川町	1	80	55	1	100	47	-	-	-
06428	庄内町	2	160	99	2	160	98	-	-	-
06461	遊佐町	2	180	136	-	-	-	-	-	-
07000	福島県	116	8218	5224	76	6829	4185	17	517	372
07201	福島市	14	904	622	11	1009	684	-	-	-
07202	会津若松市　　	5	400	256	6	587	334	1	30	31
07203	郡山市	13	964	668	10	789	482	5	174	111
07204	いわき市	12	920	617	10	1018	541	6	155	93
07205	白河市	4	220	128	2	200	119	-	-	-
07207	須賀川市	6	400	296	3	250	152	-	-	-
07208	喜多方市	4	320	193	2	186	121	2	78	54
07209	相馬市	1	120	64	2	200	119	-	-	-
07210	二本松市	3	260	148	3	282	165	-	-	-
07211	田村市	3	200	145	2	200	119	-	-	-
07212	南相馬市	4	280	165	2	158	110	1	10	12
07213	伊達市	6	455	302	1	150	136	1	50	39
07214	本宮市	2	145	76	2	183	108	-	-	-
07301	桑折町	1	50	27	1	100	72	-	-	-
07303	国見町	1	90	49	-	-	-	-	-	-
07308	川俣町	2	110	77	2	129	85	-	-	-
07322	大玉村	1	70	55	-	-	-	-	-	-
07342	鏡石町	1	90	71	-	-	-	-	-	-
07344	天栄村	-	-	-	-	-	-	-	-	-
07362	下郷町	1	50	26	-	-	-	-	-	-
07364	檜枝岐村	-	-	-	-	-	-	-	-	-
07367	只見町	1	50	23	1	50	26	-	-	-
07368	南会津町	3	150	80	1	80	37	-	-	-
07402	北塩原村	-	-	-	-	-	-	-	-	-
07405	西会津町	1	50	33	-	-	-	-	-	-
07407	磐梯町	-	-	-	1	100	52	-	-	-
07408	猪苗代町	2	170	100	2	200	112	-	-	-
07421	会津坂下町　　	1	80	46	-	-	-	-	-	-
07422	湯川村	-	-	-	-	-	-	-	-	-
07423	柳津町	1	50	33	-	-	-	-	-	-
07444	三島町	1	50	37	-	-	-	-	-	-
07445	金山町	1	80	50	-	-	-	-	-	-
07446	昭和村	1	30	23	-	-	-	-	-	-
07447	会津美里町　　	2	190	144	1	100	88	-	-	-
07461	西郷村	2	200	94	1	100	52	-	-	-
07464	泉崎村	1	50	35	1	85	53	-	-	-
07465	中島村	-	-	-	-	-	-	-	-	-
07466	矢吹町	1	80	37	2	115	64	-	-	-
07481	棚倉町	1	80	54	1	29	19	-	-	-
07482	矢祭町	1	78	42	-	-	-	-	-	-
07483	塙町　	1	50	43	1	100	67	-	-	-
07484	鮫川村	-	-	-	-	-	-	-	-	-
07501	石川町	1	80	40	1	100	69	-	-	-
07502	玉川村	1	56	30	-	-	-	-	-	-
07503	平田村	1	50	28	1	100	63	1	20	32
07504	浅川町	1	80	44	-	-	-	-	-	-
07505	古殿町	1	50	31	1	29	17	-	-	-
07521	三春町	1	50	32	1	100	60	-	-	-
07522	小野町	1	50	31	-	-	-	-	-	-
07541	広野町	1	36	20	-	-	-	-	-	-
07542	楢葉町	-	-	-	1	100	62	-	-	-
07543	富岡町	1	80	3	-	-	-	-	-	-
07544	川内村	-	-	-	-	-	-	-	-	-
07545	大熊町	-	-	-	-	-	-	-	-	-
07546	双葉町	-	-	-	-	-	-	-	-	-
07547	浪江町	-	-	-	-	-	-	-	-	-
07548	葛尾村	-	-	-	-	-	-	-	-	-
07561	新地町	1	80	56	-	-	-	-	-	-
07564	飯舘村	1	120	54	-	-	-	-	-	-
08000	茨城県	167	11134	7491	109	9756	5639	30	1073	709
08201	水戸市	13	824	552	10	838	514	2	66	44
08202	日立市	12	782	531	5	450	246	2	138	73
08203	土浦市	8	528	336	3	229	146	-	-	-
08204	古河市	7	450	287	4	370	241	1	19	11
08205	石岡市	4	284	181	4	360	205	3	119	75
08207	結城市	2	250	148	3	240	135	-	-	-
08208	龍ケ崎市	3	235	132	1	100	54	1	60	34
08210	下妻市	4	236	162	2	200	108	1	17	34
08211	常総市	6	404	252	2	200	107	1	16	6
08212	常陸太田市　　	5	361	256	2	200	94	1	14	21
08214	高萩市	2	138	117	2	140	73	1	52	38
08215	北茨城市	2	205	141	2	190	115	1	38	23
08216	笠間市	3	198	140	4	348	191	1	6	9
08217	取手市	6	410	291	3	251	142	1	27	20
08219	牛久市	3	218	168	3	229	143	-	-	-
08220	つくば市	10	645	456	8	758	429	-	-	-
08221	ひたちなか市　	4	236	177	6	519	314	1	4	-
08222	鹿嶋市	3	150	113	2	200	134	-	-	-
08223	潮来市	2	100	70	1	100	49	-	-	-
08224	守谷市	2	110	99	1	25	15	-	-	-
08225	常陸大宮市　　	5	250	166	2	160	105	2	60	40
08226	那珂市	4	307	277	3	280	119	3	120	106
08227	筑西市	7	409	277	3	275	150	3	170	84
08228	坂東市	3	200	115	2	200	106	-	-	-
08229	稲敷市	3	190	122	2	200	140	-	-	-
08230	かすみがうら　	4	230	160	1	100	53	-	-	-
08231	桜川市	3	239	159	3	280	169	2	57	41
08232	神栖市	4	230	165	3	284	154	-	-	-
08233	行方市	4	266	151	2	180	116	-	-	-
08234	鉾田市	4	230	158	2	150	96	-	-	-
08235	つくばみらい　	3	242	179	-	-	-	-	-	-
08236	小美玉市	4	323	188	3	280	154	-	-	-
08302	茨城町	2	120	81	3	300	171	-	-	-
08309	大洗町	1	80	67	1	100	60	1	35	18
08310	城里町	1	50	31	1	80	67	1	40	22
08341	東海村	3	303	164	1	60	28	1	15	10
08364	大子町	2	150	101	2	200	134	-	-	-
08442	美浦村	1	64	39	2	200	101	-	-	-
08443	阿見町	2	100	75	2	200	105	-	-	-
08447	河内町	2	107	67	-	-	-	-	-	-
08521	八千代町	2	100	71	-	-	-	-	-	-
08542	五霞町	1	90	17	-	-	-	-	-	-
08546	境町　	1	90	55	2	180	109	-	-	-
08564	利根町	-	-	-	1	100	51	-	-	-
09000	栃木県	108	6197	4301	55	4809	2658	8	516	335
09201	宇都宮市	24	1434	1034	9	838	500	3	318	211
09202	足利市	10	559	388	4	221	125	-	-	-
09203	栃木市	8	494	358	5	400	213	1	8	14
09204	佐野市	7	374	277	4	315	173	-	-	-
09205	鹿沼市	7	397	292	3	240	141	1	50	30
09206	日光市	7	380	268	5	434	225	-	-	-
09208	小山市	6	409	261	5	454	247	-	-	-
09209	真岡市	4	202	122	2	200	103	-	-	-
09210	大田原市	4	216	159	2	200	112	-	-	-
09211	矢板市	2	150	120	1	81	44	-	-	-
09213	那須塩原市　　	6	296	199	3	406	205	1	36	23
09214	さくら市	2	108	75	2	180	106	-	-	-
09215	那須烏山市　　	1	80	46	2	150	87	-	-	-
09216	下野市	4	204	138	1	90	53	-	-	-
09301	上三川町	2	100	68	-	-	-	-	-	-
09342	益子町	-	-	-	2	120	54	-	-	-
09343	茂木町	1	50	36	1	100	54	-	-	-
09344	市貝町	1	50	28	-	-	-	-	-	-
09345	芳賀町	1	50	28	-	-	-	-	-	-
09361	壬生町	1	100	74	1	50	34	-	-	-
09364	野木町	1	50	31	1	150	84	-	-	-
09367	岩舟町	2	130	80	1	100	49	-	-	-
09384	塩谷町	1	50	28	-	-	-	1	16	10
09386	高根沢町	2	100	59	1	80	50	1	88	48
09407	那須町	2	94	46	-	-	-	-	-	-
09411	那珂川町	2	120	86	-	-	-	-	-	-
10000	群馬県	126	7956	5430	70	5352	3335	14	620	436
10201	前橋市	21	1407	901	10	834	558	2	13	22
10202	高崎市	19	1289	867	14	1036	626	1	14	19
10203	桐生市	11	720	561	5	420	280	1	12	31
10204	伊勢崎市	13	780	547	4	350	239	2	138	86
10205	太田市	12	690	481	7	462	286	1	96	51
10206	沼田市	3	190	143	3	200	113	-	-	-
10207	館林市	4	230	156	2	175	108	2	100	57
10208	渋川市	5	340	227	3	250	147	-	-	-
10209	藤岡市	5	280	149	3	230	138	1	36	24
10210	富岡市	3	180	110	5	348	230	1	100	61
10211	安中市	7	380	222	3	230	123	1	14	29
10212	みどり市	2	150	111	2	200	114	1	50	33
10344	榛東村	1	70	58	1	80	59	-	-	-
10345	吉岡町	-	-	-	1	100	60	-	-	-
10366	上野村	-	-	-	-	-	-	-	-	-
10367	神流町	-	-	-	-	-	-	-	-	-
10382	下仁田町	1	50	45	-	-	-	-	-	-
10383	南牧村	1	50	33	-	-	-	-	-	-
10384	甘楽町	1	80	31	-	-	-	-	-	-
